title,boxoffice,dates,budget
Spider-Man: Far from Home,"$346,500,256",7/2/19,$160 million
The Secret Life of Pets 2,"$153,918,300",6/7/19,$80 million
Godzilla: King of the Monsters,"$109,968,931",5/31/19,$170 million
Aladdin (2019),"$346,636,294",5/24/19,$183 million
Pokemon Detective Pikachu,"$143,858,720",5/10/19,$150 million
Avengers: Endgame,"$856,706,929",4/26/19,$356 million
Shazam!,"$140,371,656",4/5/19,$100 million
Dumbo (2019),"$114,740,069",3/29/19,$170 million
How to Train Your Dragon: The Hidden World,"$160,799,505",2/22/19,$129 million
Alita: Battle Angel,"$85,710,210",2/14/19,$170 million
Bumblebee,"$127,195,589",12/21/18,$135 million
Spider-Man: Into The Spider-Verse,"$190,241,310",12/14/18,$90 million
Mortal Engines,"$15,951,040",12/14/18,$100 million
Ralph Breaks the Internet,"$201,091,711",11/21/18,$175 million
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901",11/16/18,$200 million
Dr. Seuss' The Grinch (2018),"$270,620,950",11/9/18,$75 million
The Nutcracker and the Four Realms,"$54,858,851",11/2/18,$120 million
Venom (2018),"$213,515,506",10/5/18,$100 million
Alpha,"$35,857,181",8/17/18,$51 million
The Meg,"$145,443,742",8/10/18,$130 million
Mission: Impossible - Fallout,"$220,159,104",7/27/18,$178 million
Hotel Transylvania 3: Summer Vacation,"$167,510,016",7/13/18,$80 million
Skyscraper,"$68,420,120",7/13/18,$125 million
Jurassic World: Fallen Kingdom,"$417,719,760",6/22/18,$170 million
Solo: A Star Wars Story,"$213,767,512",5/25/18,$275 million
Rampage (2018),"$101,028,233",4/13/18,$120 million
Ready Player One,"$137,690,172",3/29/18,$175 million
Pacific Rim Uprising,"$59,874,525",3/23/18,$150 million
Tomb Raider,"$58,250,803",3/16/18,$94 million
Jumanji: Welcome to the Jungle,"$404,564,861",12/20/17,$90 million
Star Wars: The Last Jedi,"$620,181,382",12/15/17,$317 million
Ferdinand,"$84,410,380",12/15/17,$111 million
The Star,"$40,852,824",11/17/17,$20 million
Thor: Ragnarok,"$315,058,289",11/3/17,$180 million
Geostorm,"$33,700,160",10/20/17,$120 million
Blade Runner 2049,"$92,054,159",10/6/17,$150 million
Kingsman: The Golden Circle,"$100,234,838",9/22/17,$104 million
The Nut Job 2: Nutty by Nature,"$28,370,522",8/11/17,$40 million
The Emoji Movie,"$86,089,513",7/28/17,$50 million
Valerian and the City of a Thousand Planets,"$41,189,488",7/21/17,$177.2 million
War for the Planet of the Apes,"$146,880,162",7/14/17,$150 million
Spider-Man: Homecoming,"$334,201,140",7/7/17,$175 million
Despicable Me 3,"$264,624,300",6/30/17,$80 million
Transformers: The Last Knight,"$130,168,683",6/21/17,$217 million
The Mummy (2017),"$80,227,895",6/9/17,$125 million
Wonder Woman,"$412,563,408",6/2/17,$149 million
Captain Underpants: The First Epic Movie,"$73,921,000",6/2/17,$38 million
Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876",5/26/17,$230 million
King Arthur: Legend of the Sword,"$39,175,066",5/12/17,$175 million
Guardians of the Galaxy Vol. 2,"$389,813,101",5/5/17,$200 million
Smurfs: The Lost Village,"$45,020,282",4/7/17,$60 million
Ghost in the Shell (2017),"$40,563,557",3/31/17,$110 million
Beauty and the Beast (2017),"$504,014,165",3/17/17,$160 million
Kong: Skull Island,"$168,052,812",3/10/17,$185 million
The Great Wall,"$45,540,830",2/17/17,$150 million
The LEGO Batman Movie,"$175,750,384",2/10/17,$80 million
Resident Evil: The Final Chapter,"$26,830,068",1/27/17,$40 million
xXx: The Return of Xander Cage,"$44,898,413",1/20/17,$85 million
Underworld: Blood Wars,"$30,353,973",1/6/17,$35 million
Sing,"$270,395,425",12/21/16,$75 million
Passengers (2016),"$100,014,699",12/21/16,$110 million
Assassin's Creed,"$54,647,948",12/21/16,$125 million
Rogue One: A Star Wars Story,"$532,177,324",12/16/16,$200 million
Fantastic Beasts and Where To Find Them,"$234,037,575",11/18/16,$180 million
Doctor Strange,"$232,641,920",11/4/16,$165 million
Trolls,"$153,707,064",11/4/16,$125 million
Miss Peregrine's Home for Peculiar Children,"$87,242,834",9/30/16,$110 million
Storks,"$72,679,278",9/23/16,$70 million
Kubo and the Two Strings,"$48,023,088",8/19/16,$60 million
Ben-Hur (2016),"$26,410,477",8/19/16,$100 million
Pete's Dragon (2016),"$76,233,151",8/12/16,$65 million
Suicide Squad,"$325,100,054",8/5/16,$175 million
Star Trek Beyond,"$158,848,340",7/22/16,$185 million
Ice Age: Collision Course,"$64,063,008",7/22/16,$105 million
Ghostbusters (2016),"$128,350,574",7/15/16,$144 million
The Secret Life of Pets,"$368,384,330",7/8/16,$75 million
The Legend of Tarzan,"$126,643,061",7/1/16,$180 million
The BFG,"$55,483,770",7/1/16,$140 million
Independence Day: Resurgence,"$103,144,286",6/24/16,$165 million
Warcraft,"$47,365,290",6/10/16,$160 million
Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601",6/3/16,$135 million
X-Men: Apocalypse,"$155,442,489",5/27/16,$178 million
Alice Through the Looking Glass,"$77,041,381",5/27/16,$170 million
The Angry Birds Movie,"$107,509,366",5/20/16,$73 million
Captain America: Civil War,"$408,084,349",5/6/16,$250 million
The Jungle Book (2016),"$364,001,123",4/15/16,$175 million
Batman v Superman: Dawn of Justice,"$330,360,194",3/25/16,$250 million
Gods of Egypt,"$31,153,464",2/26/16,$140 million
Kung Fu Panda 3,"$143,528,619",1/29/16,$145 million
Point Break (2015),"$28,782,481",12/25/15,$105 million
Star Wars: The Force Awakens,"$936,662,225",12/18/15,$245 million
In the Heart of the Sea,"$25,020,758",12/11/15,$100 million
The Peanuts Movie,"$130,178,411",11/6/15,$99 million
Paranormal Activity: The Ghost Dimension,"$18,300,124",10/23/15,$10 million
Goosebumps,"$80,080,379",10/16/15,$58 million
Pan,"$35,088,320",10/9/15,$150 million
The Martian,"$228,433,663",10/2/15,$108 million
The Walk,"$10,137,502",9/30/15,$35 million
Hotel Transylvania 2,"$169,700,110",9/25/15,$80 million
Everest (2015),"$43,482,270",9/18/15,$55 million
Pixels,"$78,747,585",7/24/15,$88 million
Ant-Man,"$180,202,163",7/17/15,$130 million
Minions,"$336,045,770",7/10/15,$74 million
Terminator: Genisys,"$89,760,956",7/1/15,$155 million
Inside Out,"$356,461,711",6/19/15,$175 million
Jurassic World,"$652,270,625",6/12/15,$150 million
San Andreas,"$155,190,832",5/29/15,$110 million
Poltergeist (2015),"$47,425,125",5/22/15,$35 million
Mad Max: Fury Road,"$154,058,340",5/15/15,$150 million
Avengers: Age of Ultron,"$459,005,868",5/1/15,$250 million
Home (2015),"$177,397,510",3/27/15,$135 million
The Divergent Series: Insurgent,"$130,179,072",3/20/15,$110 million
The SpongeBob Movie: Sponge Out of Water,"$162,994,032",2/6/15,$74 million
Jupiter Ascending,"$47,387,723",2/6/15,$176 million
Seventh Son,"$17,223,265",2/6/15,$95 million
