Title,imdbRating
Spider-Man: Far from Home,8.0
The Secret Life of Pets 2,6.6
Godzilla: King of the Monsters,6.6
Pokémon Detective Pikachu,6.8
Avengers: Endgame,8.7
Shazam!,7.3
How to Train Your Dragon: The Hidden World,7.6
Alita: Battle Angel,7.5
Bumblebee,6.9
Spider-Man: Into the Spider-Verse,8.5
Mortal Engines,6.1
Ralph Breaks the Internet,7.1
Fantastic Beasts: The Crimes of Grindelwald,6.6
The Nutcracker and the Four Realms,5.5
Alpha,6.7
The Meg,5.7
Mission: Impossible - Fallout,7.8
Hotel Transylvania 3: Summer Vacation,6.3
Skyscraper,5.8
Jurassic World: Fallen Kingdom,6.2
Solo: A Star Wars Story,7.0
Ready Player One,7.5
Pacific Rim: Uprising,5.6
Tomb Raider,6.3
Jumanji: Welcome to the Jungle,7.0
Star Wars: The Last Jedi,7.1
Ferdinand,6.7
The Star,6.1
Thor: Ragnarok,7.9
Geostorm,5.3
Blade Runner 2049,8.0
Kingsman: The Golden Circle,6.8
The Nut Job 2: Nutty by Nature,5.5
The Emoji Movie,3.2
Valerian and the City of a Thousand Planets,6.5
War for the Planet of the Apes,7.4
Spider-Man: Homecoming,7.5
Despicable Me 3,6.3
Transformers: The Last Knight,5.2
Wonder Woman,7.5
Captain Underpants: The First Epic Movie,6.2
Pirates of the Caribbean: Dead Men Tell No Tales,6.6
King Arthur: Legend of the Sword,6.8
Guardians of the Galaxy Vol. 2,7.7
Smurfs: The Lost Village,6.0
Kong: Skull Island,6.6
The Great Wall,6.0
The Lego Batman Movie,7.3
Resident Evil: The Final Chapter,5.6
Underworld: Blood Wars,5.8
Sing,7.1
Assassin's Creed,5.8
Rogue One: A Star Wars Story,7.8
Fantastic Beasts and Where to Find Them,7.3
Doctor Strange,7.5
Trolls,6.5
Miss Peregrine's Home for Peculiar Children,6.7
Storks,6.8
Kubo and the Two Strings,7.8
Suicide Squad,6.0
Star Trek Beyond,7.1
Ice Age: Collision Course,5.7
Mr. Plinkett's Ghostbusters 2016 Review,8.4
The Secret Life of Pets,6.5
The Legend of Tarzan,6.3
The BFG,6.4
Independence Day: Resurgence,5.2
Warcraft: The Beginning,6.8
Teenage Mutant Ninja Turtles: Out of the Shadows,6.0
X-Men: Apocalypse,7.0
Alice Through the Looking Glass,6.2
The Angry Birds Movie,6.3
Captain America: Civil War,7.8
Batman v Superman: Dawn of Justice,6.5
Gods of Egypt,5.4
Kung Fu Panda 3,7.1
Star Wars: The Force Awakens World Premiere Red Carpet,6.2
In the Heart of the Sea,6.9
The Peanuts Movie,7.1
Paranormal Activity: The Ghost Dimension,4.6
Goosebumps,6.3
Pan,5.8
The Martian,8.0
The Walk,7.3
Hotel Transylvania 2,6.7
Pixels,5.6
Ant-Man,7.3
Minions,6.4
Terminator Genisys,6.4
Inside Out,8.2
Jurassic World,7.0
San Andreas,6.1
Mad Max: Fury Road,8.1
Avengers: Age of Ultron,7.3
The SpongeBob Movie: Sponge Out of Water,6.0
Jupiter Ascending,5.3
Seventh Son,5.5
Exodus: Gods and Kings,6.0
Penguins of Madagascar,6.7
Big Hero 6,7.8
The Boxtrolls,6.8
Guardians of the Galaxy,8.1
Planes: Fire & Rescue,6.0
Dawn of the Planet of the Apes,7.6
Transformers: Age of Extinction,5.7
How to Train Your Dragon 2,7.8
Edge of Tomorrow,7.9
Maleficent,7.0
X-Men: Days of Future Past,8.0
Legends of Oz: Dorothy's Return,5.5
Rio 2,6.3
Captain America: The Winter Soldier,7.8
Need for Speed,6.5
Mr. Peabody & Sherman,6.8
300: Rise of an Empire,6.2
Pompeii,5.5
The Lego Movie,7.8
"I, Frankenstein",5.1
The Nut Job,5.7
The Legend of Hercules,4.2
47 Ronin,6.3
Walking with Dinosaurs,8.5
Frozen,7.5
Thor: The Dark World,6.9
Free Birds,5.9
Gravity,7.7
Cloudy with a Chance of Meatballs 2,6.4
Metallica Through the Never,7.2
Battle of the Year,5.1
One Direction: This Is Us,4.2
Planes,5.7
Percy Jackson: Sea of Monsters,5.8
The Smurfs 2,5.4
The Wolverine,6.7
R.I.P.D.,5.6
Turbo,6.4
Pacific Rim,6.9
Despicable Me 2,7.4
World War Z,7.0
Man of Steel,7.1
Epic,6.7
Star Trek Into Darkness,7.7
Iron Man 3,7.2
G.I. Joe: Retaliation,5.8
The Croods,7.2
Oz the Great and Powerful,6.3
Jack the Giant Slayer,6.3
Escape from Planet Earth,5.9
Life of Pi,7.9
Rise of the Guardians,7.3
Wreck-It Ralph,7.7
Les ténèbres révélées de Silent Hill révélation 3D,N/A
Frankenweenie,7.0
Hotel Transylvania,7.1
Dredd,7.1
Resident Evil: Retribution,5.4
ParaNorman,7.0
Step Up Revolution,6.5
Ice Age: Continental Drift,6.6
Katy Perry: Part of Me,5.9
The Amazing Spider-Man,7.0
Brave,7.1
Abraham Lincoln: Vampire Hunter,5.9
Madagascar 3: Europe's Most Wanted,6.8
Prometheus,7.0
Partners in Time: The Making of 'MIB 3',6.2
The Pirates! Band of Misfits,6.7
Wrath of the Titans,5.7
John Carter,6.6
Ghost Rider: Spirit of Vengeance,4.3
Journey 2: The Mysterious Island,5.8
Underworld Awakening,6.4
The Darkest Hour,4.9
Immortals,6.0
A Very Harold & Kumar 3D Christmas,6.3
Puss in Boots,6.6
Dolphin Tale,6.9
Shark Night 3D,4.0
Final Destination 5,5.9
Glee: The 3D Concert Movie,5.4
The Smurfs,5.5
Captain America: The First Avenger,6.9
