title,boxoffice,dates,budget,links
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,"$271,489",7/23/19,N/A,/movies/?id=isitwrongtotrytopickupgirlsinadungeon.htm
The Lion King (2019),"$351,873,087",7/19/19,N/A,/movies/?id=lionkingliveaction.htm
Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$90,341",7/11/19,N/A,/movies/?id=soundeuphoniumthemovie.htm
Toy Story 4,"$396,210,139",6/21/19,N/A,/movies/?id=pixar2017.htm
The Secret Life of Pets 2,"$153,728,180",6/7/19,$80 million,/movies/?id=illumination2018.htm
Funan,"$15,152",6/7/19,N/A,/movies/?id=funan.htm
Uglydolls,"$20,150,241",5/3/19,$45 million,/movies/?id=uglydolls.htm
Ploey,"$77,815",4/26/19,N/A,/movies/?id=ploey.htm
Okko's Inn,"$134,787",4/22/19,N/A,/movies/?id=okkosinn.htm
The Pilgrim's Progress,"$1,294,596",4/18/19,N/A,/movies/?id=thepilgrimsprogress.htm
Missing Link,"$16,649,539",4/12/19,N/A,/movies/?id=laika2018.htm
Trinity Seven: Heavens Library & Crimson Lord,"$15,712",3/29/19,N/A,/movies/?id=trinityseven.htm
Made In Abyss: Journey's Dawn,"$134,047",3/20/19,N/A,/movies/?id=madeinabyssjourneysdawn.htm
Wonder Park,"$45,216,793",3/15/19,N/A,/movies/?id=amusementpark.htm
This Magnificent Cake!,"$7,888",3/1/19,N/A,/movies/?id=thismagnificentcake.htm
How to Train Your Dragon: The Hidden World,"$160,799,505",2/22/19,$129 million,/movies/?id=httyd3.htm
Asterix: The Secret of the Magic Potion,"$1,271,953",2/15/19,N/A,/movies/?id=asterixlesecretdelapotionmagique.htm
"Ruben Brandt, Collector","$117,963",2/15/19,N/A,/movies/?id=rubenbrandtcollector.htm
The LEGO Movie 2: The Second Part,"$105,806,508",2/8/19,N/A,/movies/?id=warneranimated0518.htm
I Want to Eat Your Pancreas,"$277,019",2/7/19,N/A,/movies/?id=iwanttoeatyourpancreas.htm
Peppa Celebrates Chinese New Year,"$131,225",2/6/19,N/A,/movies/?id=peppacelebrateschinesenewyear.htm
Tito and the Birds,"$4,332",1/25/19,N/A,/movies/?id=titoandthebirds.htm
Dragon Ball Super: Broly,"$30,712,119",1/16/19,N/A,/movies/?id=dragonballzbroly.htm
Spider-Man: Into The Spider-Verse,"$190,241,310",12/14/18,$90 million,/movies/?id=animatedspider-man.htm
Racetime,"$1,875,283",12/7/18,N/A,/movies/?id=racetime.htm
Henchmen,"$1,469",12/7/18,N/A,/movies/?id=henchmen.htm
