Title,imdbRating
The Secret Life of Pets 2,6.6
UglyDolls,4.5
How to Train Your Dragon: The Hidden World,7.6
Spider-Man: Into the Spider-Verse,8.5
Ralph Breaks the Internet,7.1
Teen Titans Go! To the Movies,6.8
Hotel Transylvania 3: Summer Vacation,6.3
Sherlock Gnomes,5.1
Peter Rabbit,6.6
Ferdinand,6.7
The Star,6.1
My Little Pony: The Movie,6.1
The Nut Job 2: Nutty by Nature,5.5
The Emoji Movie,3.2
Despicable Me 3,6.3
Captain Underpants: The First Epic Movie,6.2
Smurfs: The Lost Village,6.0
The Lego Batman Movie,7.3
Sing,7.1
Trolls,6.5
Storks,6.8
Kubo and the Two Strings,7.8
Sausage Party,6.2
Ice Age: Collision Course,5.7
The Secret Life of Pets,6.5
The Angry Birds Movie,6.3
Kung Fu Panda 3,7.1
Anomalisa,7.3
The Peanuts Movie,7.1
Hotel Transylvania 2,6.7
Minions,6.4
Inside Out,8.2
The SpongeBob Movie: Sponge Out of Water,6.0
Penguins of Madagascar,6.7
Big Hero 6,7.8
The Boxtrolls,6.8
Planes: Fire & Rescue,6.0
How to Train Your Dragon 2,7.8
Legends of Oz: Dorothy's Return,5.5
Rio 2,6.3
Mr. Peabody & Sherman,6.8
The Lego Movie,7.8
The Nut Job,5.7
Frozen,7.5
Free Birds,5.9
Cloudy with a Chance of Meatballs 2,6.4
Planes,5.7
Turbo,6.4
Despicable Me 2,7.4
Epic,6.7
The Croods,7.2
Escape from Planet Earth,5.9
Rise of the Guardians,7.3
Wreck-It Ralph,7.7
Frankenweenie,7.0
Hotel Transylvania,7.1
ParaNorman,7.0
Ice Age: Continental Drift,6.6
Brave,7.1
Madagascar 3: Europe's Most Wanted,6.8
The Pirates! Band of Misfits,6.7
Puss in Boots,6.6
Winnie the Pooh,7.2
Cars 2,6.2
Kung Fu Panda 2,7.2
Hoodwinked Too! Hood vs. Evil,4.8
Rio,6.9
Mars Needs Moms,5.4
Rango,7.2
Tangled,7.8
Megamind,7.3
Legend of the Guardians: The Owls of Ga'Hoole,7.0
Despicable Me,7.7
Toy Story 3,8.3
Shrek Forever After,6.3
How to Train Your Dragon,8.1
The Secret of Kells,7.7
The Princess and the Frog,7.1
Planet 51,6.1
Fantastic Mr. Fox,7.9
Astro Boy,6.3
Cloudy with a Chance of Meatballs,7.0
9,7.1
Ice Age: Dawn of the Dinosaurs,7.0
Up,8.2
Coraline,7.7
The Tale of Despereaux,6.1
Delgo,4.4
Bolt,6.8
Madagascar: Escape 2 Africa,6.7
Igor,6.0
Fly Me to the Moon,5.5
Space Chimps,4.5
WALL·E,8.4
Kung Fu Panda,7.6
Beowulf,6.2
Bee Movie,6.1
The Simpsons Movie,7.3
Ratatouille,8.0
Shrek the Third,6.1
Aqua Teen Hunger Force Colon Movie Film for Theaters,6.9
TMNT,6.3
Arthur and the Invisibles,6.0
Happy Feet,6.5
Flushed Away,6.6
Open Season,6.1
Renaissance,6.7
The Ant Bully,5.8
Monster House,6.6
Cars,7.1
The Wild,5.3
Ice Age: The Meltdown,6.8
Curious George,6.5
Chicken Little,5.8
'Wallace and Gromit: The Curse of the Were-Rabbit': On the Set - Part 1,7.2
Valiant,5.5
Steamboy,6.9
Robots,6.3
Pooh's Heffalump Movie,6.4
The SpongeBob SquarePants Movie,7.1
The Polar Express,6.6
The Incredibles,8.0
Shark Tale,6.0
Shrek 2,7.2
Home on the Range,5.4
Looney Tunes: Back in Action,5.7
Sinbad: Legend of the Seven Seas,6.7
Rugrats Go Wild,5.6
Finding Nemo,8.1
The Jungle Book 2,5.4
The Wild Thornberrys,6.7
Treasure Planet,7.2
Jonah: A VeggieTales Movie,6.6
The Powerpuff Girls Movie,6.5
Hey Arnold! The Movie,6.0
Lilo & Stitch,7.2
Spirit: Stallion of the Cimarron,7.1
Ice Age,7.5
Peter Pan 2: Return to Never Land,5.8
Jimmy Neutron: Boy Genius,6.0
"Monsters, Inc.",8.1
Final Fantasy: The Spirits Within,6.4
Atlantis: The Lost Empire,6.9
Shrek,7.9
Pokémon 3: The Movie,5.8
Recess: School's Out,6.6
The Emperor's New Groove,7.4
Rugrats in Paris: The Movie,6.2
Digimon: The Movie,6.0
Pokémon the Movie 2000,6.1
Chicken Run,7.1
Titan A.E.,6.6
Dinosaur,6.5
The Road to El Dorado,6.9
The Tigger Movie,6.3
Toy Story 2,7.9
Pokémon: The First Movie - Mewtwo Strikes Back,6.1
The Iron Giant,8.0
Tarzan,7.3
The Prince of Egypt,7.1
A Bug's Life,7.2
The Rugrats Movie,5.9
Antz,6.6
I Married a Strange Person!,7.0
Hercules,7.3
Beavis and Butt-Head Do America,6.8
The Hunchback of Notre Dame,6.9
An Arabian Knight,5.6
The Lion King,8.5
Aladdin,8.0
Beauty and the Beast,8.0
