Title,imdbRating
Rocketman,7.7
Bohemian Rhapsody,8.0
"Love, Simon",7.6
Dallas Buyers Club,8.0
Circumstance,5.9
Beginners,7.2
I Love You Phillip Morris,6.6
The Kids Are All Right,7.0
A Single Man,7.6
Milk,7.6
The Last Mistress,6.3
FAQs,5.8
That Man: Peter Berlin,7.0
Brokeback Mountain,7.7
Rent,7.0
Capote,7.4
Alexander,5.6
Bad Education,7.5
Kinsey,7.1
Tarnation,7.2
A Home at the End of the World,6.7
The Dreamers,7.2
Monster,7.3
Boat Trip,4.9
The Hours,7.6
Far from Heaven,7.4
Frida,7.4
The Rules of Attraction,6.7
Kissing Jessica Stein,6.6
The Deep End,6.6
The Next Best Thing,4.7
The Talented Mr. Ripley,7.4
Boys Don't Cry,7.6
"Happy, Texas",6.3
Gods and Monsters,7.5
Midnight in the Garden of Good and Evil,6.6
Men in Black,7.3
