title,boxoffice,dates,budget
What Men Want,"$54,611,903",2/8/19,$20 million
Second Act,"$39,282,227",12/21/18,$16 million
Crazy Rich Asians,"$174,532,921",8/15/18,$30 million
Overboard (2018),"$50,316,123",5/4/18,$12 million
Home Again,"$27,020,284",9/8/17,$12 million
Bridget Jones's Baby,"$24,252,420",9/16/16,$35 million
How to Be Single,"$46,843,513",2/12/16,$38 million
Trainwreck,"$110,212,700",7/17/15,$35 million
Blended,"$46,294,610",5/23/14,$40 million
About Last Night (2014),"$48,637,684",2/14/14,$12.5 million
That Awkward Moment,"$26,068,955",1/31/14,$8 million
Don Jon,"$24,477,704",9/27/13,$3 million
The Big Wedding,"$21,819,348",4/26/13,$35 million
Silver Linings Playbook,"$132,092,958",11/16/12,$21 million
What to Expect When You're Expecting,"$41,152,203",5/18/12,$40 million
The Five-Year Engagement,"$28,835,528",4/27/12,$30 million
Think Like a Man,"$91,547,205",4/20/12,$12 million
New Year's Eve,"$54,544,638",12/9/11,$56 million
"Crazy, Stupid, Love.","$84,351,197",7/29/11,$50 million
Friends with Benefits,"$55,802,754",7/22/11,$35 million
Larry Crowne,"$35,608,245",7/1/11,$30 million
Monte Carlo,"$23,186,769",7/1/11,$20 million
Midnight in Paris,"$56,817,045",5/20/11,$17 million
Something Borrowed,"$39,046,489",5/6/11,$35 million
Jumping the Broom,"$37,295,394",5/6/11,$6.6 million
Arthur (2011),"$33,035,397",4/8/11,$40 million
Just Go With It,"$103,028,109",2/11/11,$80 million
No Strings Attached,"$70,662,220",1/21/11,$25 million
How Do You Know,"$30,212,620",12/17/10,$120 million
Life as We Know It,"$53,374,681",10/8/10,$38 million
Easy A,"$58,401,464",9/17/10,$8 million
Going the Distance,"$17,804,299",9/3/10,$32 million
Sex and the City 2,"$95,347,692",5/27/10,$100 million
Letters to Juliet,"$53,032,453",5/14/10,$30 million
The Back-Up Plan,"$37,490,007",4/23/10,$35 million
She's Out of My League,"$32,010,860",3/12/10,$20 million
The Good Guy,"$100,688",2/19/10,$10 million
Valentine's Day,"$110,485,654",2/12/10,$52 million
Leap Year,"$25,918,920",1/8/10,$19 million
It's Complicated,"$112,735,375",12/25/09,$85 million
Did You Hear About the Morgans?,"$29,580,087",12/18/09,$58 million
The Ugly Truth,"$88,915,214",7/24/09,$38 million
(500) Days of Summer,"$32,391,374",7/17/09,$7.5 million
The Proposal,"$163,958,031",6/19/09,$40 million
My Best Friend's Girl,"$19,219,250",9/19/08,$20 million
Everybody Wants to Be Italian,"$351,416",9/5/08,$3 million
Sex and the City,"$152,647,258",5/30/08,$65 million
What Happens in Vegas,"$80,277,646",5/9/08,$35 million
Made of Honor,"$46,012,734",5/2/08,$40 million
Forgetting Sarah Marshall,"$63,172,463",4/18/08,$30 million
Fool's Gold,"$70,231,041",2/8/08,$70 million
27 Dresses,"$76,808,654",1/18/08,$30 million
Knocked Up,"$148,768,917",6/1/07,$30 million
Norbit,"$95,673,607",2/9/07,$60 million
The Holiday,"$63,224,849",12/8/06,$85 million
A Good Year,"$7,459,300",11/10/06,$35 million
The Last Kiss (2006),"$11,614,790",9/15/06,$20 million
The Break-Up,"$118,703,275",6/2/06,$52 million
Failure to Launch,"$88,715,192",3/10/06,$50 million
Prime,"$22,827,153",10/28/05,$22 million
Just Like Heaven,"$48,318,130",9/16/05,$58 million
Side Effects,"$2,216",9/9/05,$30 million
Must Love Dogs,"$43,894,863",7/29/05,$30 million
Bewitched,"$63,313,159",6/24/05,$85 million
The Perfect Man,"$16,535,005",6/17/05,$10 million
A Lot Like Love,"$21,845,719",4/22/05,$30 million
Fever Pitch,"$42,071,069",4/8/05,$30 million
