title,boxoffice,dates,budget,genre
Spider-Man: Far from Home,346500256,7/2/19,160000000.0,3D
The Secret Life of Pets 2,153918300,6/7/19,80000000.0,3D
Godzilla: King of the Monsters,109968931,5/31/19,170000000.0,3D
Aladdin (2019),346636294,5/24/19,183000000.0,3D
Pokemon Detective Pikachu,143858720,5/10/19,150000000.0,3D
Avengers: Endgame,856706929,4/26/19,356000000.0,3D
Shazam!,140371656,4/5/19,100000000.0,3D
Dumbo (2019),114740069,3/29/19,170000000.0,3D
How to Train Your Dragon: The Hidden World,160799505,2/22/19,129000000.0,3D
Alita: Battle Angel,85710210,2/14/19,170000000.0,3D
Bumblebee,127195589,12/21/18,135000000.0,3D
Spider-Man: Into The Spider-Verse,190241310,12/14/18,90000000.0,3D
Mortal Engines,15951040,12/14/18,100000000.0,3D
Ralph Breaks the Internet,201091711,11/21/18,175000000.0,3D
Fantastic Beasts: The Crimes of Grindelwald,159555901,11/16/18,200000000.0,3D
Dr. Seuss' The Grinch (2018),270620950,11/9/18,75000000.0,3D
The Nutcracker and the Four Realms,54858851,11/2/18,120000000.0,3D
Venom (2018),213515506,10/5/18,100000000.0,3D
Alpha,35857181,8/17/18,51000000.0,3D
The Meg,145443742,8/10/18,130000000.0,3D
Mission: Impossible - Fallout,220159104,7/27/18,178000000.0,3D
Hotel Transylvania 3: Summer Vacation,167510016,7/13/18,80000000.0,3D
Skyscraper,68420120,7/13/18,125000000.0,3D
Jurassic World: Fallen Kingdom,417719760,6/22/18,170000000.0,3D
Solo: A Star Wars Story,213767512,5/25/18,275000000.0,3D
Rampage (2018),101028233,4/13/18,120000000.0,3D
Ready Player One,137690172,3/29/18,175000000.0,3D
Pacific Rim Uprising,59874525,3/23/18,150000000.0,3D
Tomb Raider,58250803,3/16/18,94000000.0,3D
Jumanji: Welcome to the Jungle,404564861,12/20/17,90000000.0,3D
Star Wars: The Last Jedi,620181382,12/15/17,317000000.0,3D
Ferdinand,84410380,12/15/17,111000000.0,3D
The Star,40852824,11/17/17,20000000.0,3D
Thor: Ragnarok,315058289,11/3/17,180000000.0,3D
Geostorm,33700160,10/20/17,120000000.0,3D
Blade Runner 2049,92054159,10/6/17,150000000.0,3D
Kingsman: The Golden Circle,100234838,9/22/17,104000000.0,3D
The Nut Job 2: Nutty by Nature,28370522,8/11/17,40000000.0,3D
The Emoji Movie,86089513,7/28/17,50000000.0,3D
Valerian and the City of a Thousand Planets,41189488,7/21/17,177200000.0,3D
War for the Planet of the Apes,146880162,7/14/17,150000000.0,3D
Spider-Man: Homecoming,334201140,7/7/17,175000000.0,3D
Despicable Me 3,264624300,6/30/17,80000000.0,3D
Transformers: The Last Knight,130168683,6/21/17,217000000.0,3D
The Mummy (2017),80227895,6/9/17,125000000.0,3D
Wonder Woman,412563408,6/2/17,149000000.0,3D
Captain Underpants: The First Epic Movie,73921000,6/2/17,38000000.0,3D
Pirates of the Caribbean: Dead Men Tell No Tales,172558876,5/26/17,230000000.0,3D
King Arthur: Legend of the Sword,39175066,5/12/17,175000000.0,3D
Guardians of the Galaxy Vol. 2,389813101,5/5/17,200000000.0,3D
Smurfs: The Lost Village,45020282,4/7/17,60000000.0,3D
Ghost in the Shell (2017),40563557,3/31/17,110000000.0,3D
Beauty and the Beast (2017),504014165,3/17/17,160000000.0,3D
Kong: Skull Island,168052812,3/10/17,185000000.0,3D
The Great Wall,45540830,2/17/17,150000000.0,3D
The LEGO Batman Movie,175750384,2/10/17,80000000.0,3D
Resident Evil: The Final Chapter,26830068,1/27/17,40000000.0,3D
xXx: The Return of Xander Cage,44898413,1/20/17,85000000.0,3D
Underworld: Blood Wars,30353973,1/6/17,35000000.0,3D
Sing,270395425,12/21/16,75000000.0,3D
Passengers (2016),100014699,12/21/16,110000000.0,3D
Assassin's Creed,54647948,12/21/16,125000000.0,3D
Rogue One: A Star Wars Story,532177324,12/16/16,200000000.0,3D
Fantastic Beasts and Where To Find Them,234037575,11/18/16,180000000.0,3D
Doctor Strange,232641920,11/4/16,165000000.0,3D
Trolls,153707064,11/4/16,125000000.0,3D
Miss Peregrine's Home for Peculiar Children,87242834,9/30/16,110000000.0,3D
Storks,72679278,9/23/16,70000000.0,3D
Kubo and the Two Strings,48023088,8/19/16,60000000.0,3D
Ben-Hur (2016),26410477,8/19/16,100000000.0,3D
Pete's Dragon (2016),76233151,8/12/16,65000000.0,3D
Suicide Squad,325100054,8/5/16,175000000.0,3D
Star Trek Beyond,158848340,7/22/16,185000000.0,3D
Ice Age: Collision Course,64063008,7/22/16,105000000.0,3D
Ghostbusters (2016),128350574,7/15/16,144000000.0,3D
The Secret Life of Pets,368384330,7/8/16,75000000.0,3D
The Legend of Tarzan,126643061,7/1/16,180000000.0,3D
The BFG,55483770,7/1/16,140000000.0,3D
Independence Day: Resurgence,103144286,6/24/16,165000000.0,3D
Warcraft,47365290,6/10/16,160000000.0,3D
Teenage Mutant Ninja Turtles: Out of the Shadows,82051601,6/3/16,135000000.0,3D
X-Men: Apocalypse,155442489,5/27/16,178000000.0,3D
Alice Through the Looking Glass,77041381,5/27/16,170000000.0,3D
The Angry Birds Movie,107509366,5/20/16,73000000.0,3D
Captain America: Civil War,408084349,5/6/16,250000000.0,3D
The Jungle Book (2016),364001123,4/15/16,175000000.0,3D
Batman v Superman: Dawn of Justice,330360194,3/25/16,250000000.0,3D
Gods of Egypt,31153464,2/26/16,140000000.0,3D
Kung Fu Panda 3,143528619,1/29/16,145000000.0,3D
Point Break (2015),28782481,12/25/15,105000000.0,3D
