title,boxoffice,dates,budget
Child's Play (2019),"$28,977,307",6/21/19,$10 million
The Curse of La Llorona ,"$54,733,739",4/19/19,$9 million
Pet Sematary (2019),"$54,724,696",4/5/19,$21 million
Us,"$175,005,930",3/22/19,$20 million
The Prodigy,"$14,856,291",2/8/19,$6 million
Halloween (2018),"$159,342,015",10/19/18,$10 million
The Nun,"$117,450,119",9/7/18,$22 million
Jigsaw,"$38,052,832",10/27/17,$10 million
Friend Request,"$3,759,078",9/22/17,$9.9 million
It,"$327,481,748",9/8/17,$35 million
Annabelle: Creation,"$102,092,201",8/11/17,$15 million
Alien: Covenant,"$74,262,031",5/19/17,$97 million
The Belko Experiment,"$10,166,820",3/17/17,$5 million
Get Out,"$176,040,665",2/24/17,$4.5 million
A Cure for Wellness,"$8,106,986",2/17/17,$40 million
Underworld: Blood Wars,"$30,353,973",1/6/17,$35 million
Blair Witch,"$20,777,061",9/16/16,$5 million
The Disappointments Room,"$2,423,468",9/9/16,$15 million
Don't Breathe,"$89,217,875",8/26/16,$9.9 million
The Conjuring 2,"$102,470,008",6/10/16,$40 million
The Witch,"$25,138,705",2/19/16,$4 million
Paranormal Activity: The Ghost Dimension,"$18,300,124",10/23/15,$10 million
Crimson Peak,"$31,090,320",10/16/15,$55 million
The Green Inferno,"$7,192,291",9/25/15,$5 million
Sinister 2,"$27,740,955",8/21/15,$10 million
The Gallows,"$22,764,410",7/10/15,"$100,000"
Unfriended,"$32,482,090",4/17/15,"$1,000,000"
Annabelle,"$84,273,813",10/3/14,$6.5 million
Deliver Us From Evil,"$30,577,122",7/2/14,$30 million
Oculus,"$27,695,246",4/11/14,$5 million
Devil's Due,"$15,821,461",1/17/14,$7 million
Paranormal Activity: The Marked Ones,"$32,462,372",1/3/14,$5 million
Carrie (2013),"$35,266,619",10/18/13,$30 million
The Conjuring,"$137,400,141",7/19/13,$20 million
The Lords of Salem,"$1,165,882",4/19/13,$1.5 million
Evil Dead (2013),"$54,239,856",4/5/13,$17 million
Stoker,"$1,714,221",3/1/13,$12 million
Silent Hill: Revelation 3D,"$17,529,157",10/26/12,$20 million
Paranormal Activity 4,"$53,900,335",10/19/12,$5 million
Sinister,"$48,086,903",10/12/12,$3 million
Resident Evil: Retribution,"$42,345,531",9/14/12,$65 million
Abraham Lincoln: Vampire Hunter,"$37,519,139",6/22/12,$69 million
Underworld Awakening,"$62,321,039",1/20/12,$70 million
The Devil Inside,"$53,261,944",1/6/12,"$1,000,000"
Paranormal Activity 3,"$104,028,807",10/21/11,$5 million
The Thing (2011),"$16,928,670",10/14/11,$38 million
Don't Be Afraid of the Dark,"$24,046,682",8/26/11,$25 million
Fright Night (2011),"$18,302,607",8/19/11,$30 million
Final Destination 5,"$42,587,643",8/12/11,$40 million
The Tunnel (2011),"$1,532",8/5/11,"$135,000"
Scream 4,"$38,180,928",4/15/11,$40 million
Saw 3D,"$45,710,178",10/29/10,$20 million
Paranormal Activity 2,"$84,752,907",10/22/10,$3 million
My Soul to Take,"$14,744,435",10/8/10,$25 million
Case 39,"$13,261,851",10/1/10,$26 million
Let Me In,"$12,134,935",10/1/10,$20 million
Chain Letter,"$138,788",10/1/10,$3 million
Resident Evil: Afterlife,"$60,128,566",9/10/10,$60 million
Piranha 3D,"$25,003,155",8/20/10,$24 million
Predators,"$52,000,688",7/9/10,$40 million
Splice,"$17,010,170",6/4/10,$30 million
George A. Romero's Survival of the Dead,"$101,740",5/28/10,$4 million
A Nightmare on Elm Street (2010),"$63,075,011",4/30/10,$35 million
The Crazies,"$39,123,589",2/26/10,$20 million
The Wolfman,"$61,979,680",2/12/10,$150 million
Legion (2010),"$40,168,080",1/22/10,$26 million
Daybreakers,"$30,101,577",1/8/10,$20 million
Saw VI,"$27,693,292",10/23/09,$11 million
Zombieland,"$75,590,286",10/2/09,$23.6 million
Paranormal Activity,"$107,918,810",9/25/09,"$15,000"
Pandorum,"$10,330,853",9/25/09,$33 million
Jennifer's Body,"$16,204,793",9/18/09,$16 million
Sorority Row,"$11,965,282",9/11/09,$12.5 million
The Final Destination,"$66,477,700",8/28/09,$40 million
Halloween II (2009),"$33,392,973",8/28/09,$15 million
Friday the 13th (2009),"$65,002,019",2/13/09,$19 million
Underworld: Rise of the Lycans,"$45,802,315",1/23/09,$35 million
My Bloody Valentine 3-D,"$51,545,952",1/16/09,$15 million
Saw V,"$56,746,769",10/24/08,$10.8 million
Quarantine,"$31,691,811",10/10/08,$12 million
The Mist,"$25,594,957",11/21/07,$18 million
30 Days of Night,"$39,568,996",10/19/07,$30 million
Hostel Part II,"$17,609,452",6/8/07,$10.2 million
Vacancy,"$19,363,565",4/20/07,$19 million
Grindhouse,"$25,037,897",4/6/07,$67 million
The Hills Have Eyes 2,"$20,804,166",3/23/07,$15 million
