Title,imdbRating
The Curse of La Llorona,5.5
Us,7.0
The Prodigy,5.9
The Nun,5.4
Jigsaw,5.8
Friend Request,5.3
It,7.4
Annabelle: Creation,6.5
Alien: Covenant,6.4
The Belko Experiment,6.1
Get Out,7.7
A Cure for Wellness,6.4
Underworld: Blood Wars,5.8
Blair Witch,5.0
The Disappointments Room,3.9
Don't Breathe,7.1
The Conjuring 2,7.4
The Witch,6.8
Paranormal Activity: The Ghost Dimension,4.6
Crimson Peak,6.5
The Green Inferno,5.3
Sinister 2,5.3
The Gallows,4.2
Unfriended,5.6
Annabelle,5.4
Deliver Us from Evil,6.2
Oculus,6.5
Devil's Due,4.1
Paranormal Activity: The Marked Ones,5.0
The Conjuring,7.5
The Lords of Salem,5.1
Stoker,6.8
Paranormal Activity 4,4.6
Sinister,6.8
Resident Evil: Retribution,5.4
Abraham Lincoln: Vampire Hunter,5.9
Underworld Awakening,6.4
The Devil Inside,4.2
Paranormal Activity 3,5.8
Don't Be Afraid of the Dark,5.6
Final Destination 5,5.9
Scream 4,6.2
Saw 3D: The Final Chapter,5.6
Paranormal Activity 2,5.7
My Soul to Take,4.8
Case 39,6.2
Let Me In,7.1
Chain Letter,4.2
Resident Evil: Afterlife,5.9
Piranha 3D,5.4
Predators,6.4
Splice,5.7
The Crazies,6.5
The Wolfman,5.8
Daybreakers,6.5
Saw VI,6.0
Zombieland,7.6
Paranormal Activity,6.3
Pandorum,6.8
Jennifer's Body,5.2
Sorority Row,5.2
The Final Destination,5.2
Underworld: Rise of the Lycans,6.6
Saw V,5.8
Quarantine,6.0
The Mist,7.2
30 Days of Night,6.6
Hostel: Part II,5.5
Vacancy,6.2
Grindhouse,7.6
The Hills Have Eyes 2: Mutant Attacks,7.2
Dead Silence,6.2
Saw III,6.2
The Texas Chainsaw Massacre: The Beginning,5.9
Snakes on a Plane,5.5
See No Evil,5.1
Silent Hill,6.6
Slither,6.5
The Hills Have Eyes,6.4
Final Destination 3,5.8
Tamara,5.2
Hostel,5.9
BloodRayne,2.9
Saw II,6.6
Doom,5.2
The Devil's Rejects,6.9
House of Wax,5.3
Constantine,7.0
Alone in the Dark,2.3
Blade: Trinity,5.9
Seed of Chucky,4.9
Saw,7.6
Resident Evil: Apocalypse,6.2
Malevolence,5.2
Exorcist: The Beginning,5.1
Open Water,5.7
Dawn of the Dead,7.3
Gothika,5.8
The Texas Chainsaw Massacre,6.2
House of the Dead,2.0
Underworld,7.0
Cabin Fever,5.6
Jeepers Creepers 2,5.6
Freddy Vs. Jason Weigh-In Las Vegas,7.7
28 Days Later...,7.6
Wrong Turn,6.1
House of 1000 Corpses,6.1
Dreamcatcher,5.5
Ghost Ship,5.5
Halloween: Resurrection,4.1
Jason X,4.4
Frailty,7.3
Blade II,6.7
Resident Evil,6.7
Queen of the Damned,5.3
Bones,7.9
From Hell,6.8
Jeepers Creepers,6.2
The Forsaken,5.3
Valentine,4.8
Dracula 2000,4.9
Book of Shadows: Blair Witch 2,4.0
Lost Souls,4.8
Urban Legends: Final Cut,4.2
Bless the Child,5.1
Hollow Man,5.7
Final Destination,6.7
Pitch Black,7.1
Scream 3,5.6
End of Days,5.7
Sleepy Hollow,7.4
House on Haunted Hill,5.6
Stigmata,6.2
Stir of Echoes,7.0
The Astronaut's Wife,5.3
Deep Blue Sea,5.8
The Blair Witch Project,6.4
Lake Placid,5.7
Idle Hands,6.2
Ravenous,7.0
The Rage: Carrie 2,4.7
Virus,4.9
The Faculty,6.5
I Still Know What You Did Last Summer,4.6
Bride of Chucky,5.4
Urban Legend,5.5
Halloween H20: 20 Years Later,5.7
An American Werewolf in Paris,5.1
Scream 2,6.2
Alien: Resurrection,6.2
Mimic,5.9
Scream,7.2
From Dusk Till Dawn,7.2
In the Mouth of Madness,7.2
Interview with the Vampire: The Vampire Chronicles,7.6
Mary Shelley's Frankenstein,6.4
Bram Stoker's Dracula,7.5
The Making of 'Alien 3',6.9
The Lawnmower Man,5.4
The People Under the Stairs,6.4
Freddy's Dead: The Final Nightmare,4.9
Halloween 4: The Return of Michael Myers,5.9
Predator,7.8
Angel Heart,7.3
The Texas Chainsaw Massacre 2,5.6
Re-Animator,7.2
