title,boxoffice,dates,budget
Child's Play (2019),28977307,6/21/19,10000000.0
The Curse of La Llorona ,54733739,4/19/19,9000000.0
Pet Sematary (2019),54724696,4/5/19,21000000.0
Us,175005930,3/22/19,20000000.0
The Prodigy,14856291,2/8/19,6000000.0
Halloween (2018),159342015,10/19/18,10000000.0
The Nun,117450119,9/7/18,22000000.0
Jigsaw,38052832,10/27/17,10000000.0
Friend Request,3759078,9/22/17,9900000.0
It,327481748,9/8/17,35000000.0
Annabelle: Creation,102092201,8/11/17,15000000.0
Alien: Covenant,74262031,5/19/17,97000000.0
The Belko Experiment,10166820,3/17/17,5000000.0
Get Out,176040665,2/24/17,4500000.0
A Cure for Wellness,8106986,2/17/17,40000000.0
Underworld: Blood Wars,30353973,1/6/17,35000000.0
Blair Witch,20777061,9/16/16,5000000.0
The Disappointments Room,2423468,9/9/16,15000000.0
Don't Breathe,89217875,8/26/16,9900000.0
The Conjuring 2,102470008,6/10/16,40000000.0
The Witch,25138705,2/19/16,4000000.0
Paranormal Activity: The Ghost Dimension,18300124,10/23/15,10000000.0
Crimson Peak,31090320,10/16/15,55000000.0
The Green Inferno,7192291,9/25/15,5000000.0
Sinister 2,27740955,8/21/15,10000000.0
The Gallows,22764410,7/10/15,100000
Unfriended,32482090,4/17/15,1000000
Annabelle,84273813,10/3/14,6500000.0
Deliver Us From Evil,30577122,7/2/14,30000000.0
Oculus,27695246,4/11/14,5000000.0
Devil's Due,15821461,1/17/14,7000000.0
Paranormal Activity: The Marked Ones,32462372,1/3/14,5000000.0
Carrie (2013),35266619,10/18/13,30000000.0
The Conjuring,137400141,7/19/13,20000000.0
The Lords of Salem,1165882,4/19/13,1500000.0
Evil Dead (2013),54239856,4/5/13,17000000.0
Stoker,1714221,3/1/13,12000000.0
Silent Hill: Revelation 3D,17529157,10/26/12,20000000.0
Paranormal Activity 4,53900335,10/19/12,5000000.0
Sinister,48086903,10/12/12,3000000.0
Resident Evil: Retribution,42345531,9/14/12,65000000.0
Abraham Lincoln: Vampire Hunter,37519139,6/22/12,69000000.0
Underworld Awakening,62321039,1/20/12,70000000.0
The Devil Inside,53261944,1/6/12,1000000
Paranormal Activity 3,104028807,10/21/11,5000000.0
The Thing (2011),16928670,10/14/11,38000000.0
Don't Be Afraid of the Dark,24046682,8/26/11,25000000.0
Fright Night (2011),18302607,8/19/11,30000000.0
Final Destination 5,42587643,8/12/11,40000000.0
The Tunnel (2011),1532,8/5/11,135000
Scream 4,38180928,4/15/11,40000000.0
Saw 3D,45710178,10/29/10,20000000.0
Paranormal Activity 2,84752907,10/22/10,3000000.0
My Soul to Take,14744435,10/8/10,25000000.0
Case 39,13261851,10/1/10,26000000.0
Let Me In,12134935,10/1/10,20000000.0
Chain Letter,138788,10/1/10,3000000.0
Resident Evil: Afterlife,60128566,9/10/10,60000000.0
Piranha 3D,25003155,8/20/10,24000000.0
Predators,52000688,7/9/10,40000000.0
Splice,17010170,6/4/10,30000000.0
George A. Romero's Survival of the Dead,101740,5/28/10,4000000.0
A Nightmare on Elm Street (2010),63075011,4/30/10,35000000.0
The Crazies,39123589,2/26/10,20000000.0
The Wolfman,61979680,2/12/10,150000000.0
Legion (2010),40168080,1/22/10,26000000.0
Daybreakers,30101577,1/8/10,20000000.0
Saw VI,27693292,10/23/09,11000000.0
Zombieland,75590286,10/2/09,23600000.0
Paranormal Activity,107918810,9/25/09,15000
Pandorum,10330853,9/25/09,33000000.0
Jennifer's Body,16204793,9/18/09,16000000.0
Sorority Row,11965282,9/11/09,12500000.0
The Final Destination,66477700,8/28/09,40000000.0
Halloween II (2009),33392973,8/28/09,15000000.0
Friday the 13th (2009),65002019,2/13/09,19000000.0
Underworld: Rise of the Lycans,45802315,1/23/09,35000000.0
My Bloody Valentine 3-D,51545952,1/16/09,15000000.0
Saw V,56746769,10/24/08,10800000.0
Quarantine,31691811,10/10/08,12000000.0
The Mist,25594957,11/21/07,18000000.0
30 Days of Night,39568996,10/19/07,30000000.0
Hostel Part II,17609452,6/8/07,10200000.0
Vacancy,19363565,4/20/07,19000000.0
Grindhouse,25037897,4/6/07,67000000.0
The Hills Have Eyes 2,20804166,3/23/07,15000000.0
Dead Silence,16809076,3/16/07,20000000.0
Saw III,80238724,10/27/06,10000000.0
The Texas Chainsaw Massacre: The Beginning,39517763,10/6/06,16000000.0
Snakes on a Plane,34020814,8/18/06,33000000.0
The Omen (2006),54607383,6/6/06,25000000.0
See No Evil,15032800,5/19/06,8000000.0
Silent Hill,46982632,4/21/06,50000000.0
Slither,7802450,3/31/06,15000000.0
The Hills Have Eyes,41778863,3/10/06,15000000.0
Final Destination 3,54098051,2/10/06,25000000.0
Tamara,206871,2/3/06,3500000.0
Hostel,47326473,1/6/06,4800000.0
BloodRayne,2405420,1/6/06,25000000.0
Saw II,87039965,10/28/05,4000000.0
Doom,28212337,10/21/05,60000000.0
The Devil's Rejects,17044981,7/22/05,7000000.0
George A. Romero's Land of the Dead,20700082,6/24/05,15000000.0
House of Wax,32064800,5/6/05,40000000.0
The Amityville Horror (2005),65233369,4/15/05,19000000.0
Constantine,75976178,2/18/05,100000000.0
Alone in the Dark,5178569,1/28/05,20000000.0
Blade: Trinity,52411906,12/8/04,65000000.0
Seed of Chucky,17083732,11/12/04,12000000.0
Saw,56000369,10/29/04,1200000.0
Resident Evil: Apocalypse,51201453,9/10/04,45000000.0
Malevolence,127287,9/10/04,200000
Exorcist: The Beginning,41821986,8/20/04,80000000.0
Open Water,30610863,8/6/04,500000
Dawn of the Dead,59020957,3/19/04,26000000.0
Gothika,59694580,11/21/03,40000000.0
The Texas Chainsaw Massacre,80571655,10/17/03,9500000.0
House of the Dead,10249719,10/10/03,12000000.0
Underworld,51970690,9/19/03,22000000.0
Cabin Fever,21158188,9/12/03,1500000.0
Jeepers Creepers 2,35667218,8/29/03,17000000.0
Freddy Vs. Jason,82622655,8/15/03,30000000.0
28 Days Later,45064915,6/27/03,8000000.0
Wrong Turn,15418790,5/30/03,12600000.0
"House of 1,000 Corpses",12634962,4/11/03,7000000.0
Dreamcatcher,33715436,3/21/03,68000000.0
Ghost Ship,30113491,10/25/02,20000000.0
fear dot com,13258249,8/30/02,40000000.0
Halloween: Resurrection,30354442,7/12/02,13000000.0
Jason X,13121555,4/26/02,11000000.0
Frailty,13110448,4/12/02,11000000.0
Blade II,82348319,3/22/02,54000000.0
Resident Evil,40119709,3/15/02,33000000.0
Queen of the Damned,30336800,2/22/02,35000000.0
Thirteen Ghosts,41867960,10/26/01,42000000.0
Bones,7316658,10/26/01,16000000.0
From Hell,31602566,10/19/01,35000000.0
Jeepers Creepers,37904175,8/31/01,10000000.0
John Carpenter's Ghosts of Mars,8709640,8/24/01,28000000.0
The Forsaken,7288451,4/27/01,15000000.0
Valentine,20384136,2/2/01,29000000.0
Dracula 2000,33022767,12/22/00,54000000.0
Book of Shadows: Blair Witch 2,26437094,10/27/00,15000000.0
Lost Souls,16815253,10/13/00,50000000.0
Urban Legends: Final Cut,21468807,9/22/00,14000000.0
Bless the Child,29381494,8/11/00,65000000.0
Hollow Man,73209340,8/4/00,95000000.0
Final Destination,53331147,3/17/00,23000000.0
Pitch Black,39240659,2/18/00,23000000.0
Scream 3,89143175,2/4/00,40000000.0
End of Days,66889043,11/24/99,100000000.0
Sleepy Hollow,101071502,11/19/99,100000000.0
House on Haunted Hill,40846082,10/29/99,37000000.0
Stigmata,50046268,9/10/99,29000000.0
Stir of Echoes,21142914,9/10/99,12000000.0
The Astronaut's Wife,10672566,8/27/99,75000000.0
Deep Blue Sea,73648142,7/30/99,60000000.0
The Blair Witch Project,140539099,7/16/99,60000
Lake Placid,31770414,7/16/99,35000000.0
Idle Hands,4152230,4/30/99,25000000.0
Ravenous,2062405,3/19/99,12000000.0
The Rage: Carrie 2,17762705,3/12/99,21000000.0
Virus,14036005,1/15/99,75000000.0
The Faculty,40283321,12/25/98,15000000.0
I Still Know What You Did Last Summer,40002112,11/13/98,65000000.0
John Carpenter's Vampires,20308772,10/30/98,20000000.0
Bride of Chucky,32383850,10/16/98,25000000.0
Urban Legend,38072438,9/25/98,14000000.0
Halloween: H20,55041738,8/7/98,17000000.0
An American Werewolf in Paris,26570463,12/25/97,25000000.0
Scream 2,101363301,12/12/97,24000000.0
Alien Resurrection,47795658,11/26/97,75000000.0
Mimic,25480490,8/22/97,30000000.0
Scream,103046663,12/20/96,14000000.0
From Dusk Till Dawn,25836616,1/19/96,19000000.0
In the Mouth of Madness,8924549,2/3/95,8000000.0
Interview with the Vampire,105264608,11/11/94,60000000.0
Mary Shelley's Frankenstein,22006296,11/4/94,45000000.0
Bram Stoker's Dracula,82522790,11/13/92,40000000.0
Alien 3,55473545,5/22/92,50000000.0
The Lawnmower Man,32100816,3/6/92,10000000.0
The People Under the Stairs,24204154,11/1/91,6000000.0
Freddy's Dead: The Final Nightmare,34872033,9/13/91,11000000.0
Halloween 4: The Return of Michael Myers,17768757,10/21/88,5000000.0
Predator,59735548,6/12/87,15000000.0
Angel Heart,17185632,3/6/87,17000000.0
The Texas Chainsaw Massacre 2,8025872,8/22/86,4700000.0
Re-Animator,2023414,10/18/85,900000
