title,boxoffice,dates,budget
What Men Want,54611903,2/8/19,20000000.0
Second Act,39282227,12/21/18,16000000.0
Crazy Rich Asians,174532921,8/15/18,30000000.0
Overboard (2018),50316123,5/4/18,12000000.0
Home Again,27020284,9/8/17,12000000.0
Bridget Jones's Baby,24252420,9/16/16,35000000.0
How to Be Single,46843513,2/12/16,38000000.0
Trainwreck,110212700,7/17/15,35000000.0
Blended,46294610,5/23/14,40000000.0
About Last Night (2014),48637684,2/14/14,12500000.0
That Awkward Moment,26068955,1/31/14,8000000.0
Don Jon,24477704,9/27/13,3000000.0
The Big Wedding,21819348,4/26/13,35000000.0
Silver Linings Playbook,132092958,11/16/12,21000000.0
What to Expect When You're Expecting,41152203,5/18/12,40000000.0
The Five-Year Engagement,28835528,4/27/12,30000000.0
Think Like a Man,91547205,4/20/12,12000000.0
New Year's Eve,54544638,12/9/11,56000000.0
"Crazy, Stupid, Love.",84351197,7/29/11,50000000.0
Friends with Benefits,55802754,7/22/11,35000000.0
Larry Crowne,35608245,7/1/11,30000000.0
Monte Carlo,23186769,7/1/11,20000000.0
Midnight in Paris,56817045,5/20/11,17000000.0
Something Borrowed,39046489,5/6/11,35000000.0
Jumping the Broom,37295394,5/6/11,6600000.0
Arthur (2011),33035397,4/8/11,40000000.0
Just Go With It,103028109,2/11/11,80000000.0
No Strings Attached,70662220,1/21/11,25000000.0
How Do You Know,30212620,12/17/10,120000000.0
Life as We Know It,53374681,10/8/10,38000000.0
Easy A,58401464,9/17/10,8000000.0
Going the Distance,17804299,9/3/10,32000000.0
Sex and the City 2,95347692,5/27/10,100000000.0
Letters to Juliet,53032453,5/14/10,30000000.0
The Back-Up Plan,37490007,4/23/10,35000000.0
She's Out of My League,32010860,3/12/10,20000000.0
The Good Guy,100688,2/19/10,10000000.0
Valentine's Day,110485654,2/12/10,52000000.0
Leap Year,25918920,1/8/10,19000000.0
It's Complicated,112735375,12/25/09,85000000.0
Did You Hear About the Morgans?,29580087,12/18/09,58000000.0
The Ugly Truth,88915214,7/24/09,38000000.0
(500) Days of Summer,32391374,7/17/09,7500000.0
The Proposal,163958031,6/19/09,40000000.0
My Best Friend's Girl,19219250,9/19/08,20000000.0
Everybody Wants to Be Italian,351416,9/5/08,3000000.0
Sex and the City,152647258,5/30/08,65000000.0
What Happens in Vegas,80277646,5/9/08,35000000.0
Made of Honor,46012734,5/2/08,40000000.0
Forgetting Sarah Marshall,63172463,4/18/08,30000000.0
Fool's Gold,70231041,2/8/08,70000000.0
27 Dresses,76808654,1/18/08,30000000.0
Knocked Up,148768917,6/1/07,30000000.0
Norbit,95673607,2/9/07,60000000.0
The Holiday,63224849,12/8/06,85000000.0
A Good Year,7459300,11/10/06,35000000.0
The Last Kiss (2006),11614790,9/15/06,20000000.0
The Break-Up,118703275,6/2/06,52000000.0
Failure to Launch,88715192,3/10/06,50000000.0
Prime,22827153,10/28/05,22000000.0
Just Like Heaven,48318130,9/16/05,58000000.0
Side Effects,2216,9/9/05,30000000.0
Must Love Dogs,43894863,7/29/05,30000000.0
Bewitched,63313159,6/24/05,85000000.0
The Perfect Man,16535005,6/17/05,10000000.0
A Lot Like Love,21845719,4/22/05,30000000.0
Fever Pitch,42071069,4/8/05,30000000.0
Bigger Than the Sky,21398,2/18/05,750000
Hitch,179495555,2/11/05,70000000.0
The Wedding Date,31726995,2/4/05,15000000.0
Bridget Jones: The Edge of Reason,40226215,11/12/04,40000000.0
Wimbledon,17001133,9/17/04,31000000.0
Little Black Book,20698668,8/6/04,35000000.0
Breakin' All the Rules,12264319,5/14/04,10000000.0
Laws of Attraction,17871255,4/30/04,32000000.0
The Prince and Me,28176497,4/2/04,22000000.0
50 First Dates,120908074,2/13/04,75000000.0
Win a Date with Tad Hamilton!,17071962,1/23/04,22000000.0
Along Came Polly,88097164,1/16/04,42000000.0
Chasing Liberty,12195626,1/9/04,23000000.0
Something's Gotta Give,124728738,12/12/03,80000000.0
Love Actually,59696144,11/7/03,40000000.0
Anything Else,3212310,9/19/03,18000000.0
Alex and Emma,14218698,6/20/03,30000000.0
Boat Trip,8600126,3/21/03,20000000.0
Bringing Down the House,132716677,3/7/03,33000000.0
A Guy Thing,15545431,1/17/03,20000000.0
Just Married,56127162,1/10/03,18000000.0
Two Weeks Notice,93354851,12/20/02,60000000.0
Maid in Manhattan,94011225,12/13/02,55000000.0
Brown Sugar,27363891,10/11/02,8000000.0
Swept Away,598645,10/11/02,10000000.0
Sweet Home Alabama,127223418,9/27/02,30000000.0
Serving Sara,16930185,8/23/02,29000000.0
Mr. Deeds,126293452,6/28/02,50000000.0
About a Boy,41385278,5/17/02,30000000.0
"Life, or Something Like It",14448589,4/26/02,40000000.0
My Big Fat Greek Wedding,241438208,4/19/02,5000000.0
The Sweetest Thing,24718164,4/12/02,43000000.0
Crush,1084935,4/5/02,6000000.0
Kissing Jessica Stein,7025722,3/13/02,1000000
Shallow Hal,70839203,11/9/01,40000000.0
On the Line,4365455,10/26/01,16000000.0
Two Can Play That Game,22235901,9/7/01,13000000.0
Summer Catch,19753553,8/24/01,34000000.0
America's Sweethearts,93607673,7/20/01,46000000.0
Town & Country,6719973,4/27/01,90000000.0
Bridget Jones's Diary,71543427,4/13/01,25000000.0
Someone Like You,27343067,3/30/01,23000000.0
Say It Isn't So,5520393,3/23/01,25000000.0
Get Over It,11576464,3/9/01,22000000.0
Down to Earth,64186502,2/16/01,49000000.0
Head Over Heels,10424470,2/2/01,14000000.0
The Wedding Planner,60400856,1/26/01,35000000.0
